City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Tazovskiy,RU,67.4667,78.7,6.28,93,70,13.22,broken clouds
219,Vila Velha,BR,-20.3297,-40.2925,85.95,76,20,1.99,few clouds
220,Lokosovo,RU,61.1333,74.8167,14.54,94,100,10.49,light snow
221,Namibe,AO,-15.1961,12.1522,72.43,79,88,7.76,overcast clouds
222,Qasigiannguit,GL,68.8193,-51.1922,10.65,84,100,5.08,overcast clouds
223,Pio Xii,BR,-3.8325,-45.1525,85.96,69,81,3.13,broken clouds
224,Chipinge,ZW,-20.1883,32.6236,60.57,78,2,3.91,clear sky
225,Ico,BR,-6.4011,-38.8622,91.11,42,57,4.47,broken clouds
226,Yumen,CN,40.2833,97.2,21.51,52,100,7.31,overcast clouds
227,Boguchany,RU,58.3814,97.4531,-7.33,100,100,0.96,overcast clouds
228,Tiznit,MA,29.5833,-9.5,65.5,22,100,4.43,overcast clouds
229,Saint-Augustin,CA,51.226,-58.6502,-1.25,80,5,6.22,clear sky
230,Novyy Urengoy,RU,66.0833,76.6333,1.22,97,14,10.09,few clouds
231,Aswan,EG,24.0934,32.907,56.88,40,0,11.88,clear sky
232,Norman Wells,CA,65.282,-126.8329,-24.95,95,84,5.37,broken clouds
233,Quelimane,MZ,-17.8786,36.8883,73.56,85,0,5.23,clear sky
234,Waddan,LY,29.1614,16.139,55.36,38,100,3.29,overcast clouds
235,Santiago Del Estero,AR,-27.7951,-64.2615,105.03,24,5,17.94,clear sky
236,Rocha,UY,-34.4833,-54.3333,90.77,53,100,11.21,overcast clouds
237,Ambulu,ID,-8.345,113.6058,74.7,91,100,2.06,overcast clouds
238,Provideniya,RU,64.3833,-173.3,2.68,96,100,16.33,light snow
239,Lixourion,GR,38.2019,20.4314,54.32,77,53,15.52,broken clouds
240,Nikolskoye,RU,59.7035,30.7861,29.39,97,92,5.95,overcast clouds
241,Ngunguru,NZ,-35.6167,174.5,58.15,83,31,5.21,scattered clouds
242,Khash,IR,28.2211,61.2158,36.81,25,0,11.99,clear sky
243,Kodiak,US,57.79,-152.4072,44.11,76,100,26.46,light rain
244,Solikamsk,RU,59.6196,56.7729,10.53,95,100,5.88,overcast clouds
245,Port Keats,AU,-14.25,129.55,78.96,88,100,3.94,overcast clouds
246,Codrington,AU,-38.2667,141.9667,63.27,53,12,5.7,few clouds
247,Maba,CN,24.6841,113.5984,60.71,71,100,0.11,light rain
248,Meadow Lake,US,34.8014,-106.5436,50.77,40,3,8.32,clear sky
249,Inirida,CO,3.8653,-67.9239,82.44,76,86,3.47,light rain
250,Qaanaaq,GL,77.484,-69.3632,-1.17,97,100,5.61,overcast clouds
251,Luquillo,PR,18.3725,-65.7166,83.8,65,20,16.11,few clouds
252,Portland,US,45.5234,-122.6762,46.83,91,75,1.01,broken clouds
253,Bonavista,CA,48.6499,-53.1147,26.11,78,100,16.62,overcast clouds
254,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,73,32,11.48,scattered clouds
255,Katsuura,JP,35.1333,140.3,37.51,47,0,7.54,clear sky
256,Ahipara,NZ,-35.1667,173.1667,62.19,77,6,3.87,clear sky
257,Kutum,SD,14.2,24.6667,60.96,16,52,6.67,broken clouds
258,Monrovia,LR,6.3005,-10.7969,80.33,73,4,8.86,clear sky
259,Pahalgam,IN,34.0333,75.3333,25.7,93,100,4.99,light snow
260,Vrangel,RU,42.7297,133.0839,15.53,52,16,6.78,few clouds
261,Noumea,NC,-22.2763,166.4572,78.01,99,87,5.57,overcast clouds
262,Mokhsogollokh,RU,61.4681,128.9203,-11.42,100,100,1.81,overcast clouds
263,Poso,ID,-1.3959,120.7524,75.74,88,100,3.31,overcast clouds
264,Forbes,AU,-33.3833,148.0167,64.92,72,0,6.91,clear sky
